"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"705","10809",36,43,21,14.7,0,1.6,43,384.1,23.8,"WGS84",44.733016,-0.05201,"B82","F00","U111","8","mineral","FRANCE"
"706","10810",23,29,48,6.8,0,0.9,25.7,252.3,11.3,"WGS84",44.72953,0.10127,"B82","E10","U111","8","mineral","FRANCE"
"707","10811",38,46,16,11.4,0,1.3,20.5,305.4,18.3,"WGS84",44.63158,-0.160956,"B82","E10","U111","8","mineral","FRANCE"
"708","10812",20,28,52,15.5,86,1.5,48.7,241,16.3,"WGS84",45.09454,-0.06668,"B16","8","U111","8","mineral","FRANCE"
"709","10813",6,15,79,7.2,0,0.7,0,31.6,0,"WGS84",44.50983,-0.291026,"D20","8","U400","8","mineral","FRANCE"
"710","10814",5,16,79,10,2,0.9,26,64.4,4.3,"WGS84",45.080479,-0.75618,"B82","F00","U111","8","mineral","FRANCE"
"711","10815",28,59,13,23.6,0,2.4,35.8,394.3,17.4,"WGS84",44.75651,-0.1837,"E20","8","U111","U312","mineral","FRANCE"
"712","10816",11,36,53,9.6,0,0.9,0,61.5,0,"WGS84",44.71098,-0.27716,"C10","8","U120","8","mineral","FRANCE"
"713","10817",3,5,91,26.7,0,1.7,11.4,28.3,5.5,"WGS84",44.57374,-0.73496,"C10","8","U120","8","mineral","FRANCE"
"714","10818",6,12,82,51.3,0,2.5,0,73.2,6.9,"WGS84",44.99133,-0.739,"E20","8","U120","8","mineral","FRANCE"
"715","10819",11,12,78,17.5,0,1.2,0,60.7,3.9,"WGS84",44.126031,0.055724,"C20","8","U120","8","mineral","FRANCE"
"716","10820",44,39,17,7.3,32,1.4,16.8,234.4,27.5,"WGS84",43.709386,1.052095,"B11","8","U111","8","mineral","FRANCE"
"717","10821",17,72,11,13.2,2,1.3,31.1,125,9.2,"WGS84",43.722348,1.199896,"E20","8","U111","8","mineral","FRANCE"
"718","10822",27,54,19,7.7,13,1.1,60,182.1,9.3,"WGS84",43.748491,1.295673,"B11","8","U111","8","mineral","FRANCE"
"719","10823",34,24,42,7.7,0,1.1,19.8,212,21.8,"WGS84",43.735321,1.572113,"B31","8","U111","8","mineral","FRANCE"
"720","10824",31,43,27,7.6,118,1.1,27.9,339.6,21,"WGS84",43.731258,1.522851,"B31","8","U111","8","mineral","FRANCE"
"721","10825",21,48,32,6.9,9,0.9,40.7,134.4,8.8,"WGS84",43.678926,1.331126,"E30","8","U120","8","mineral","FRANCE"
"722","10826",30,40,30,13.3,65,1.5,12,270.6,22.4,"WGS84",43.597923,1.666788,"B31","8","U111","8","mineral","FRANCE"
"723","10827",21,34,45,25.5,3,2.9,16.7,152.5,11.9,"WGS84",43.571493,1.347223,"E10","8","U361","8","mineral","FRANCE"
"724","10828",38,52,10,10.4,0,1.4,19.7,171.2,20.8,"WGS84",43.219573,1.053081,"B33","8","U111","8","mineral","FRANCE"
"725","10829",26,32,41,11.6,1,1.3,52.1,209.1,17.2,"WGS84",43.476221,1.957339,"B31","8","U111","8","mineral","FRANCE"
"726","10830",24,33,43,6.2,247,1,0,201.6,16.3,"WGS84",43.454421,1.910751,"B31","8","U111","8","mineral","FRANCE"
"727","10831",35,46,18,10.7,161,1.3,10.9,191.3,22.1,"WGS84",43.488323,1.881191,"B11","8","U111","8","mineral","FRANCE"
"728","10832",18,42,40,29.4,0,2.7,38,90.9,5.3,"WGS84",43.090518,0.628098,"C10","8","U400","8","mineral","FRANCE"
"729","10833",35,43,22,21.8,1,2.2,16.3,238.6,8.3,"WGS84",43.213528,0.583646,"E20","8","U111","8","mineral","FRANCE"
"730","10834",45,41,15,23.4,0,2.3,0,229.4,7.6,"WGS84",43.175373,0.763069,"D20","8","U400","8","mineral","FRANCE"
"731","10835",32,35,32,14,77,1.6,16.6,148.5,19.7,"WGS84",43.211303,0.757336,"B31","8","U111","8","mineral","FRANCE"
"732","10836",13,33,54,8.1,0,1,46.4,129.7,5.6,"WGS84",43.263342,1.566179,"B31","8","U111","8","mineral","FRANCE"
"733","10837",25,50,25,7.5,0,1,0,123.1,9.8,"WGS84",43.41027,1.371223,"E10","8","U370","8","mineral","FRANCE"
"734","10846",20,52,28,16.5,0,1.8,0,69.2,3.3,"WGS84",43.186678,0.686898,"E20","8","U111","8","mineral","FRANCE"
"735","10847",38,32,30,20.3,106,1.2,0,123.2,29.5,"WGS84",43.210918,0.955408,"C10","8","U120","8","mineral","FRANCE"
"736","10848",32,44,24,24.3,0,1.8,0,162.9,12.1,"WGS84",43.162041,0.814579,"C10","8","U120","8","mineral","FRANCE"
"737","10849",12,78,10,9.4,0,1.3,44.1,68.7,4.9,"WGS84",43.094808,0.874519,"B16","8","U111","8","mineral","FRANCE"
"738","10850",16,38,45,17.5,1,1.7,76.8,54.3,7.9,"WGS84",43.157269,0.963723,"E20","8","U111","8","mineral","FRANCE"
"739","10851",25,39,36,22.7,7,1.6,0,61.9,6.5,"WGS84",43.175471,0.564989,"C10","8","U120","8","mineral","FRANCE"
"740","10852",20,61,19,30.3,4,2.7,12.2,212.4,15,"WGS84",43.050319,0.782716,"C10","E10","U111","8","mineral","FRANCE"
"741","10853",42,42,16,8.1,311,1.2,19.2,245.5,24.3,"WGS84",43.392854,1.820214,"B31","8","U111","8","mineral","FRANCE"
"742","10854",37,46,17,89,239,7.5,14.2,110.7,49.3,"WGS84",42.976388,0.769657,"C10","8","U120","8","organic","FRANCE"
"743","10855",21,43,36,5.9,1,0.9,32.6,140.7,10,"WGS84",43.570013,1.54646,"B19","8","U111","8","mineral","FRANCE"
"744","10856",2,4,93,17.9,0,1.1,0,46.7,2.9,"WGS84",44.107743,-0.671801,"C20","8","U120","8","mineral","FRANCE"
